Property,Beds,Showers,Garages,Price,Currency,Rent Period,Url
townhouse-for-rent-at-Airport-Residential-Area-103217?y=2006959929,4,4,,28890,GH₵,month,https://meqasa.com/townhouse-for-rent-at-Airport-Residential-Area-103217?y=2006959929
"apartment-for-rent-at-Airport-Residential-Area,Accra,Ghana-103130?y=2006959929",2,2,120 m2,2650,$,month,"https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area,Accra,Ghana-103130?y=2006959929"
apartment-for-rent-at-Spintex-(-studio-apartment-)-100359?y=2006959929,1,1,200 m2,3000,GH₵,month,https://meqasa.com/apartment-for-rent-at-Spintex-(-studio-apartment-)-100359?y=2006959929
house-for-rent-at-Adjiringanor-104427?y=2006959929,5,4,1,2500,$,month,https://meqasa.com/house-for-rent-at-Adjiringanor-104427?y=2006959929
apartment-for-rent-at-Airport-Area-104135?y=2006959929,3,2,2,3500,$,month,https://meqasa.com/apartment-for-rent-at-Airport-Area-104135?y=2006959929
apartment-for-rent-at-Cantonments-101436?y=2006959929,4,3,,4000,$,month,https://meqasa.com/apartment-for-rent-at-Cantonments-101436?y=2006959929
townhouse-for-rent-at-Cantonments-074711?y=2006959929,4,4,,3500,$,month,https://meqasa.com/townhouse-for-rent-at-Cantonments-074711?y=2006959929
house-for-rent-at-Cantonments-101461?y=2006959929,4,4,,4000,$,month,https://meqasa.com/house-for-rent-at-Cantonments-101461?y=2006959929
"apartment-for-rent-at-Shiashie,-Accra,-Ghana-045319?y=2006959929",1,1,42 m2,1390,$,month,"https://meqasa.com/apartment-for-rent-at-Shiashie,-Accra,-Ghana-045319?y=2006959929"
apartment-for-rent-at-West-Legon-104998?y=2006959929,2,2,4,1200,$,month,https://meqasa.com/apartment-for-rent-at-West-Legon-104998?y=2006959929
apartment-for-rent-at-West-Legon-104999?y=2006959929,3,3,3,1600,$,month,https://meqasa.com/apartment-for-rent-at-West-Legon-104999?y=2006959929
"house-for-rent-at-Airport-Hills,-Accra,-Ghana-004126?y=2006959929",4,5,300 m2,1790,$,month,"https://meqasa.com/house-for-rent-at-Airport-Hills,-Accra,-Ghana-004126?y=2006959929"
apartment-for-rent-at-Cantonments-102485?y=2006959929,3,3,2,2950,$,month,https://meqasa.com/apartment-for-rent-at-Cantonments-102485?y=2006959929
"apartment-for-rent-at-Ridge,Accra,Ghana.-102601?y=2006959929",3,3,160 m2,2850,$,month,"https://meqasa.com/apartment-for-rent-at-Ridge,Accra,Ghana.-102601?y=2006959929"
apartment-for-rent-at-East-Legon-101322?y=2006959929,2,2,2,500,$,month,https://meqasa.com/apartment-for-rent-at-East-Legon-101322?y=2006959929
house-for-rent-at-Amrahia-080665?y=2006959929,5,5,,,na,request],https://meqasa.com/house-for-rent-at-Amrahia-080665?y=2006959929
house-for-rent-at-Osu-101329?y=2006959929,3,2,,4000,$,month,https://meqasa.com/house-for-rent-at-Osu-101329?y=2006959929
house-for-rent-at-East-Legon-A&C-mall--100656?y=2006959929,4,5,650 m2,3500,$,month,https://meqasa.com/house-for-rent-at-East-Legon-A&C-mall--100656?y=2006959929
house-for-rent-at-Adenta-105095?y=2006959929,7,8,,3000,$,month,https://meqasa.com/house-for-rent-at-Adenta-105095?y=2006959929
apartment-for-rent-at-Roman-Ridge-081250?y=2006959929,3,3,,1200,$,month,https://meqasa.com/apartment-for-rent-at-Roman-Ridge-081250?y=2006959929
commercial space-for-rent-at-Tema-081254?y=2006959929,,,,192,$,month,https://meqasa.com/commercial space-for-rent-at-Tema-081254?y=2006959929
apartment-for-rent-at-Spintex-085007?y=2006959929,2,2,,1650,$,month,https://meqasa.com/apartment-for-rent-at-Spintex-085007?y=2006959929
commercial space-for-rent-at-Airport-Residential-Area-081251?y=2006959929,,,,292,$,month,https://meqasa.com/commercial space-for-rent-at-Airport-Residential-Area-081251?y=2006959929
